CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;B002_01;B004;B005;DD01_01;DD02;DD03;DD04;DD05;U1;U2;U3;U4;U5;U6;U7;U8;U9;U10;U11;U12;U13;U14;U15;U16;U17;U18;U19;U20;U21;U22;U23;U24;U25;U26;U27;U28;U29;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
63;;;base;interview;09.12.2021 14:22;6;1;;22;1;3;2;5;5;2;3;2;5;2;4;4;2;3;2;5;4;6;4;4;5;1;3;6;1;3;6;5;2;6;6;1;5;50;;6;33;59;45;193;;09.12.2021 14:25;1;0;6;6;0;0;0,98;11
64;;;base;interview;09.12.2021 14:22;6;1;;35;1;4;1;5;5;2;2;2;4;3;3;3;3;4;3;4;3;6;4;3;4;2;3;6;3;4;6;4;2;6;6;3;4;3;;8;16;53;58;138;;09.12.2021 14:24;1;0;6;6;0;0;1,58;32
67;;;base;interview;09.12.2021 14:26;6;1;;22;1;2;4;3;5;4;4;5;5;3;5;5;3;4;5;6;5;3;4;3;4;2;2;2;3;6;6;4;5;6;4;3;6;1827;;9;24;139;107;289;;09.12.2021 15:01;1;0;6;6;0;0;0,57;0
70;;;base;interview;09.12.2021 14:27;6;1;;24;1;2;4;5;5;1;3;6;4;1;1;6;1;4;6;4;6;1;3;4;4;3;1;1;3;6;6;5;6;1;1;5;3;1000;;7;29;189;137;372;;09.12.2021 14:50;1;0;6;6;0;0;0,53;0
72;;;base;interview;09.12.2021 14:28;6;1;;60;2;1;3;2;5;3;3;5;6;6;1;3;1;4;4;3;3;4;5;2;4;3;5;1;1;6;6;3;3;6;6;2;4;7;;12;30;139;85;273;;09.12.2021 14:33;1;0;6;6;0;0;0,8;4
73;;;base;interview;09.12.2021 14:29;3;1;;19;2;2;4;3;6;4;3;5;5;4;6;3;3;3;6;4;6;4;4;4;4;2;4;3;1;5;6;5;1;6;5;2;3;5;;9;11;52;53;130;;09.12.2021 14:31;1;0;6;6;0;0;1,48;26
75;;;base;interview;09.12.2021 14:35;6;1;;14;2;3;4;3;6;5;6;6;6;6;5;4;6;5;1;1;6;2;5;5;5;1;5;1;2;6;6;5;1;6;4;2;5;8;;7;23;68;109;215;;09.12.2021 14:38;1;0;6;6;0;0;0,99;5
76;;;base;interview;09.12.2021 14:35;6;1;;19;2;3;2;3;5;5;3;4;5;4;1;6;3;3;6;6;5;3;4;3;4;1;6;1;1;4;6;6;4;6;5;1;4;7;;6;17;401;81;197;;09.12.2021 14:44;1;0;6;6;0;0;0,95;7
79;;;base;interview;09.12.2021 14:36;6;1;;19;2;1;1;3;6;6;3;3;6;3;6;5;3;4;6;4;2;6;4;3;5;1;5;6;1;6;6;6;2;6;6;1;5;3;;4;34;79;81;201;;09.12.2021 14:40;1;0;6;6;0;0;1,45;30
83;;;base;interview;09.12.2021 14:39;5;1;;20;1;3;3;3;5;2;4;4;6;2;6;6;2;5;4;3;5;6;4;3;4;2;3;6;1;6;6;5;4;6;6;2;4;12;;13;27;91;72;215;;09.12.2021 14:43;1;0;6;6;0;0;0,79;0
84;;;base;interview;09.12.2021 14:41;6;1;;20;2;3;3;3;5;2;3;4;5;4;1;3;2;4;4;4;4;4;3;3;5;3;5;4;1;4;6;5;3;6;4;2;4;5;;5;16;52;41;119;;09.12.2021 14:43;1;0;6;6;0;0;1,56;28
85;;;base;interview;09.12.2021 14:42;6;1;;23;2;2;4;3;5;5;4;5;5;4;5;4;4;5;6;5;5;6;4;4;5;5;6;4;2;6;6;6;3;4;6;3;4;7;;7;18;87;58;177;;09.12.2021 14:45;1;0;6;6;0;0;1,12;6
87;;;base;interview;09.12.2021 14:44;6;1;;20;1;2;4;3;5;3;6;5;6;4;2;3;1;3;3;4;5;6;5;3;5;1;6;3;1;4;6;5;3;6;6;1;4;67;;8;15;93;62;245;;09.12.2021 14:48;1;0;6;6;0;0;0,87;4
91;;;base;interview;09.12.2021 14:49;3;1;;19;2;3;4;2;6;5;4;5;6;4;6;5;2;6;6;4;5;6;4;4;5;1;2;3;4;5;6;5;4;6;6;1;4;3;;3;45;170;83;304;;09.12.2021 14:54;1;0;6;6;0;0;1,42;35
92;;;base;interview;09.12.2021 14:56;5;1;;21;2;2;4;3;5;3;4;5;4;2;5;2;2;5;5;2;5;5;3;2;4;2;3;2;1;4;5;5;5;6;5;5;5;9;;14;18;88;63;192;;09.12.2021 14:59;1;0;6;6;0;0;0,94;2
93;;;base;interview;09.12.2021 15:08;6;1;;19;1;3;3;3;5;2;4;5;5;2;6;4;2;3;3;2;5;4;3;4;4;1;2;2;1;2;6;5;4;6;6;1;5;8;;6;15;125;44;198;;09.12.2021 15:12;1;0;6;6;0;0;1,18;12
94;;;base;interview;09.12.2021 15:09;6;1;;55;2;4;2;3;5;2;3;2;6;4;5;6;3;3;2;4;3;4;3;3;4;1;3;3;1;5;6;5;1;6;4;1;5;80;;6;27;84;101;298;;09.12.2021 15:14;1;0;6;6;0;0;0,74;2
95;;;base;interview;09.12.2021 15:11;6;1;;19;2;3;4;3;5;2;4;4;5;3;1;5;2;3;5;4;4;3;3;4;4;1;2;3;2;2;6;5;2;6;3;1;5;32;;6;13;72;61;184;;09.12.2021 15:14;1;0;6;6;0;0;1,06;10
98;;;base;interview;09.12.2021 15:17;-9;1;;81;2;4;4;1;5;5;1;1;6;6;6;6;1;6;5;6;6;4;6;3;6;1;3;3;1;6;6;3;1;6;4;1;1;54;;54;102;533;269;233;;09.12.2021 15:34;1;0;6;6;3;3;0,18;0
99;;;base;interview;09.12.2021 15:28;3;1;;24;1;2;4;5;6;2;5;3;5;1;6;3;1;3;6;4;4;4;3;3;5;1;2;2;3;4;6;5;5;6;4;4;5;10;;7;16;62;52;147;;09.12.2021 15:31;1;0;6;6;0;0;1,17;9
101;;;base;interview;09.12.2021 15:38;;-9;-9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;64;;;;;18;;09.12.2021 15:39;1;0;2;2;100;100;0,53;0
103;;;base;interview;09.12.2021 15:39;6;1;;55;2;1;1;2;5;4;3;1;6;5;5;6;6;4;5;3;4;5;5;4;5;1;4;5;1;5;6;5;3;6;6;1;6;5;;11;17;84;67;184;;09.12.2021 15:42;1;0;6;6;0;0;1,14;11
107;;;base;interview;09.12.2021 16:01;6;1;;22;1;3;1;2;3;2;2;2;3;2;1;1;1;1;1;1;6;3;6;2;6;1;1;1;1;6;5;4;1;6;4;1;4;5;;5;15;40;43;108;;09.12.2021 16:02;1;0;6;6;0;0;1,66;33
108;;;base;interview;09.12.2021 16:13;6;1;;21;2;4;3;4;5;4;3;3;6;5;2;1;3;5;5;3;5;3;3;4;4;2;2;2;1;5;6;5;3;4;4;3;4;89;;14;61;124;80;327;;09.12.2021 16:19;1;0;6;6;0;0;0,49;0
110;;;base;interview;09.12.2021 16:24;6;1;;23;1;4;3;3;6;5;5;2;6;6;5;6;1;2;6;5;6;4;4;3;5;1;5;1;1;4;6;5;5;6;5;1;4;35;;11;28;110;100;284;;09.12.2021 16:28;1;0;6;6;0;0;0,61;0
113;;;base;interview;09.12.2021 16:51;5;1;;19;2;3;3;3;5;2;3;6;5;2;5;4;3;5;5;6;6;6;3;3;5;2;2;6;1;3;6;5;6;5;6;3;3;6;;7;17;68;62;160;;09.12.2021 16:54;1;0;6;6;0;0;1,22;11
115;;;base;interview;09.12.2021 17:34;6;1;;25;1;4;2;5;5;6;6;1;5;6;6;5;6;6;4;6;6;3;5;4;5;2;6;1;2;6;6;6;5;6;6;1;5;7;;10;41;115;125;298;;09.12.2021 17:38;1;0;6;6;0;0;0,76;4
116;;;base;interview;09.12.2021 17:41;6;1;;23;2;2;4;5;5;3;6;4;5;3;6;3;5;6;3;5;4;6;4;3;4;4;5;6;3;4;6;4;2;6;6;5;5;4;;5;17;62;37;125;;09.12.2021 17:43;1;0;6;6;0;0;1,62;31
118;;;base;interview;09.12.2021 18:30;3;1;;26;2;2;2;4;4;2;4;6;5;4;6;6;2;3;4;6;6;3;4;3;4;3;4;3;3;5;6;6;1;6;4;4;5;6;;6;15;66;43;136;;09.12.2021 18:32;1;0;6;6;0;0;1,38;19
120;;;base;interview;09.12.2021 18:34;6;1;;21;1;3;1;3;5;3;4;2;5;4;2;4;2;3;3;3;4;2;4;3;5;1;2;3;1;4;6;5;5;6;4;1;4;7;;7;19;98;76;207;;09.12.2021 18:38;1;0;6;6;0;0;1,03;4
121;;;base;interview;09.12.2021 18:35;6;1;;14;1;3;3;1;5;2;6;5;6;2;5;2;2;2;6;5;3;2;4;3;5;2;4;2;3;4;6;4;4;6;4;1;4;5;;5;12;65;60;147;;09.12.2021 18:37;1;0;6;6;0;0;1,48;24
122;;;base;interview;09.12.2021 18:36;6;1;;20;2;3;1;3;5;5;4;4;5;3;5;5;2;3;6;2;6;6;5;4;5;3;4;5;3;4;6;4;1;6;6;1;5;4;;4;12;54;45;119;;09.12.2021 18:38;1;0;6;6;0;0;1,77;39
123;;;base;interview;09.12.2021 18:36;6;1;;23;2;4;4;4;5;2;3;5;6;3;5;2;3;5;4;4;5;6;4;4;6;4;6;4;4;6;6;5;6;6;6;4;4;7;;10;24;108;68;217;;09.12.2021 18:40;1;0;6;6;0;0;0,93;4
125;;;base;interview;09.12.2021 19:05;6;1;;25;2;1;4;5;4;4;2;6;5;2;5;3;1;4;4;4;5;4;3;3;5;2;4;3;1;4;6;4;3;6;5;1;5;55;;16;15;103;73;253;;09.12.2021 19:09;1;0;6;6;0;0;0,74;3
127;;;base;interview;09.12.2021 19:09;6;1;;20;1;1;1;4;5;2;3;1;6;3;2;1;2;1;4;4;1;1;4;4;4;1;1;1;1;4;6;5;1;6;4;2;6;8;;7;227;62;59;156;;09.12.2021 19:15;1;0;6;6;0;0;0,96;7
128;;;base;interview;09.12.2021 19:23;6;1;;25;2;3;1;5;5;3;1;4;6;1;2;3;1;4;5;5;5;3;3;4;5;5;1;3;1;3;6;4;3;6;3;3;6;5;;3;13;70;54;145;;09.12.2021 19:26;1;0;6;6;0;0;1,64;32
130;;;base;interview;09.12.2021 19:26;6;1;;31;1;4;3;5;6;5;4;3;6;5;6;5;3;5;6;4;6;5;4;4;5;2;3;3;1;6;6;5;1;5;5;1;3;21;;5;14;59;61;160;;09.12.2021 19:29;1;0;6;6;0;0;1,16;14
131;;;base;interview;09.12.2021 19:43;6;1;;57;1;4;1;4;4;6;3;2;6;4;2;5;2;1;2;3;6;5;4;3;5;1;2;4;1;6;6;3;6;6;5;1;5;68;;9;25;68;92;262;;09.12.2021 19:48;1;0;6;6;0;0;0,74;3
134;;;base;interview;09.12.2021 19:50;6;1;;60;2;4;1;5;5;4;5;3;6;5;5;5;3;3;3;5;5;4;4;3;4;2;4;4;2;6;6;5;3;6;4;1;4;95;;15;49;141;101;401;;09.12.2021 19:56;1;0;6;6;0;0;0,45;0
135;;;base;interview;09.12.2021 19:57;6;-9;1;37;2;4;1;3;5;5;1;1;5;5;4;4;3;4;4;1;4;2;4;4;3;2;4;1;1;4;6;4;4;6;5;2;6;40;8;6;16;85;48;195;;09.12.2021 20:00;1;0;6;6;3;3;1,01;8
141;;;base;interview;09.12.2021 20:19;6;1;;54;2;4;1;2;5;2;2;2;5;6;6;5;2;3;4;3;5;3;4;3;4;2;4;4;2;5;6;4;2;6;5;1;5;35;;10;22;84;59;210;;09.12.2021 20:22;1;0;6;6;0;0;0,8;1
143;;;base;interview;09.12.2021 20:21;6;1;;24;2;2;3;4;4;5;3;6;6;1;6;2;1;1;5;1;6;5;4;3;5;2;1;2;1;6;6;4;4;5;5;1;4;9;;7;18;108;103;245;;09.12.2021 20:25;1;0;6;6;0;0;0,92;2
145;;;base;interview;09.12.2021 20:26;;-9;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;9;;;;;7;;09.12.2021 20:26;1;0;2;2;50;56;1,36;18
148;;;base;interview;09.12.2021 20:33;6;1;;62;2;1;2;4;5;5;1;2;6;5;6;5;6;2;6;4;4;4;3;2;5;1;2;3;1;6;6;3;4;6;4;1;4;8;;14;34;138;109;303;;09.12.2021 20:38;1;0;6;6;0;0;0,7;2
149;;;base;interview;09.12.2021 20:35;6;1;;25;1;3;1;4;5;5;3;1;6;2;1;3;1;4;4;1;1;2;3;3;5;1;1;1;1;6;6;4;1;6;3;3;6;6;;13;22;104;67;212;;09.12.2021 20:39;1;0;6;6;0;0;0,97;6
150;;;base;interview;09.12.2021 20:35;5;1;;24;1;4;1;2;6;5;3;1;6;1;5;5;1;3;2;3;3;2;3;2;4;1;4;2;1;4;6;4;3;6;3;1;6;11;;25;19;119;101;257;;09.12.2021 20:40;1;0;6;6;0;0;0,71;1
155;;;base;interview;09.12.2021 20:40;6;1;;23;1;2;4;3;1;2;1;5;6;5;4;4;1;4;5;3;4;3;4;2;4;1;2;2;1;5;6;4;4;2;3;3;1;6;;6;14;60;55;141;;09.12.2021 20:43;1;0;6;6;0;0;1,36;18
157;;;base;interview;09.12.2021 20:41;6;1;;52;2;1;2;5;6;6;4;4;6;4;2;5;2;4;5;3;5;4;4;3;6;2;4;3;1;5;6;6;6;6;4;2;5;139;;31;40;191;130;378;;09.12.2021 20:50;1;0;6;6;0;0;0,35;0
163;;;base;interview;09.12.2021 21:19;6;1;;23;1;2;4;3;1;1;1;6;4;1;6;2;1;5;1;1;6;6;4;4;5;1;1;6;1;2;6;6;4;6;6;1;6;6;;7;27;83;94;217;;09.12.2021 21:22;1;0;6;6;0;0;1,01;6
164;;;base;interview;09.12.2021 21:42;6;1;;19;2;3;2;3;6;3;6;3;5;4;3;3;3;5;5;4;4;4;4;4;4;4;4;3;2;4;6;5;4;5;5;3;4;6;;6;23;71;65;171;;09.12.2021 21:45;1;0;6;6;0;0;1,17;10
165;;;base;interview;09.12.2021 21:48;6;1;;52;2;4;1;5;5;5;3;1;5;5;6;5;2;5;2;3;5;5;4;3;4;5;3;4;1;5;6;4;4;6;5;3;5;38;;7;16;70;66;197;;09.12.2021 21:51;1;0;6;6;0;0;0,95;5
